#overland weird corners
#near covetous
#2352,897,2365,913 
#2408,856,2418,866
#2537,873,2548,883
#near deceit
#4018,428,4055,466
#outside wrong
#2011,241,2014,250

#Hythloth (empty walls (could make secret?)(5984,104) (5991,71)
#Level 1
1 5561,1840,5561,1881
3 5569,1824,5589,1833 
1 5560,1824,5565,1829
2 5568,1848,5588,1862 
1 5588,1844,5597,1845
3 5608,1832,5621,1845 
1 5616,1849,5617,1869
1 5621,1856,5625,1861
1 5617,1873,5621,1881
1 5597,1873,5609,1881
2 5600,1860,5605,1865
1 5583,1876,5593,1877

#Lake
3 5444,1796,5479,1824 

#Deceit
#Level 1
5 5168,584,5205,629 
2 5176,568,5197,581 
1 5185,536,5189,560
2 5160,560,5173,573 
4 5137,577,5154,626 
1 5147,544,5163,555
2 5169,529,5215,529
1 5216,529,5229,573

#Level 2
4 5280,536,5341,549 
3 5280,552,5293,589 
2 5297,576,5309,581
1 5313,577,5325,589
1 5320,568,5325,573
3 5288,592,5309,613 
1 5288,616,5301,629
2 5305,610,5325,630
1 5336,576,5341,621
2 5342,579,5349,589

#Level 3
2 5137,652,5141,686
1 5128,689,5141,725
1 5144,712,5157,733
2 5144,737,5157,749
1 5148,689,5161,701
1 5143,672,5167,677
2 5168,656,5173,701
1 5176,688,5197,701
1 5176,704,5189,733
2 5184,648,5205,611
1 5209,665,5229,685
1 5217,686,5229,720
2 5209,721,5229,749 

#Level 4
4 5296,664,5317,885 
1 5267,674,5270,685
2 5264,688,5269,693
1 5256,660,5261,677
1 5264,648,5277,649
2 5281,648,5285,661
1 5281,665,5285,685
1 5280,689,5285,693
3 5280,696,5309,701 
1 5304,688,5309,693
4 5320,672,5333,709 
1 5316,704,5317,722
1 5308,720,5309,732
3 5304,741,5326,758 
1 5311,735,5372,740

#Despise
#Entryway
1 5577,626,5581,639

#Level 0
3 5487,520,5511,551 
3 5448,520,5477,553 
4 5384,520,5439,554 
1 5400,567,5423,574
1 5384,584,5414,590
1 5407,592,5414,629
3 5384,600,5398,631 
3 5423,576,5445,628 
3 5447,554,5470,579 
1 5454,592,5470,624
3 5480,591,5510,632 
1 5479,556,5500,577

#Level 2
1 5488,648,5512,662
5 5454,664,5510,713 
1 5504,671,5516,677
5 5455,719,5514,760 
4 5415,714,5450,758 
1 5384,744,5403,759
5 5382,656,5447,705 

#Level 3
2 5392,776,5403,870 
3 5405,776,5461,805 
3 5455,808,5486,830 
2 5472,780,5502,796 
1 5479,831,5503,847 
9 5506,776,5616,885 
5 5513,894,5588,925 
3 5487,919,5521,952 
1 5440,919,5485,947
1 5400,808,5416,823
3 5418,816,5452,846 
3 5385,884,5430,909 
3 5399,911,5431,953 
4 5384,936,5406,1007 
1 5423,958,5446,982 
5 5448,959,5510,998 
3 5496,1000,5535,1015 

#Destard
#Level 1
10 5184,879,5296,999 
3 5312,951,5337,986 
2 5343,923,5364,948 
3 5157,918,5181,969 
2 5235,856,5262,883 
8 5194,776,5321,861 

#Level 2
8 5131,808,5180,877 

#Level 3
1 5133,959,5150,981
1 5140,983,5154,998
2 5156,991,5191,1016 

#Shame
#Level 1
11 5384,8,5396,117 

#Level 2
1 5512,14,5524,24
3 5520,41,5550,72 
6 5552,15,5604,70 
1 5605,40,5615,48
2 5605,8,5622,29 
5 5584,86,5624,120 

#Level 3
17 5384,137,5622,246 

#Level 4
6 5657,8,5738,37 
1 5650,59,5655,86
1 5665,78,5673,104
4 5672,105,5741,119 
2 5640,97,5663,119 
1 5695,55,5703,62
1 5711,55,5719,63
1 5719,71,5727,79
1 5727,87,5735,95
1 5695,79,5703,87
1 5747,85,5788,107
4 5783,106,5877,115 
2 5815,78,5823,83 
1 5873,26,5880,63
1 5848,32,5872,44
1 5819,50,5821,54
1 5836,34,5848,64
1 5802,24,5839,34
1 5801,9,5811,21
1 5760,16,5785,23
1 5786,18,5794,48
1 5757,32,5777,49
1 5749,55,5764,67

#Wrong
#Level 1
2 5816,577,5838,596
6 5786,545,5804,596 
2 5786,537,5798,544
2 5782,525,5793,531
4 5817,517,5837,537 
6 5849,545,5868,597 
2 5869,552,5876,556
2 5857,537,5869,544

#Level Ancient wyrm
5 5688,624,5718,654 
2 5703,659,5710,665

#Level 2
5 5715,554,5732,572 
5 5649,553,5668,573 
2 5687,544,5692,558 
5 5673,521,5708,532 
2 5680,536,5700,540 

#Terathan Keep
4 5326,1538,5363,1569 
6 5296,1584,5366,1631 
1 5304,1648,5326,1656
2 5343,1640,5351,1690 
1 5353,1684,5366,1696
1 5296,1672,5326,1692
6 5296,1695,5367,1774 
2 5280,1695,5294,1726 
2 5261,1670,5271,1711 
1 5235,1684,5240,1691
2 5208,1656,5216,1711 
1 5219,1709,5237,1711
1 5165,1671,5202,1712
1 5142,1707,5146,1713
1 5150,1695,5160,1718
1 5143,1656,5158,1671
3 5127,1619,5165,1645 
1 5167,1639,5197,1645
1 5192,1623,5229,1637
6 5144,1556,5259,1614 
2 5132,1544,5175,1547 
2 5132,1549,5136,1618 
4 5282,1547,5311,1578 

#Ice Level 1
8 5748,137,5854,175 
8 5726,187,5786,232 
4 5783,176,5808,199 
4 5803,224,5839,247 
3 5849,231,5853,237
4 5847,195,5871,221 
3 5707,144,5727,149

#Ice Level 2 fort
6 5808,342,5855,375 

#Level 2
8 5656,302,5688,332 

#Fire
8 5671,1419,5815,1442 
2 5673,1412,5722,1416
4 5707,1463,5761,1473 
4 5771,1460,5808,1515 
2 5812,1495,5839,1504
4 5826,1456,5877,1485 
3 5824,1416,5866,1429 
9 5768,1288,5879,1402 
9 5643,1305,5749,1395 
4 5640,1400,5657,1449 

#Khaldun
25 5392,1291,5572,1359 
18 5391,1393,5492,1502 
13 5448,1360,5567,1383 
8 5576,1328,5623,1369 
